PO Created By,PO Create Date,PO Number,Month,Turn around in Days,P Grp,Date order Captured,User order Captured,BOT/MANUAL/SERVICE PROVIDER
1312085,2025-04-01,4400106892,April 2025,0,A14,2025-04-02,PR2PO-ACK2,BOT
4507345,2025-04-02,4400106893,April 2025,0,A14,2025-04-02,PR2PO-ACK2,BOT
4507345,2025-04-03,4400106894,April 2025,0,A14,2025-04-03,PR2PO-ACK2,BOT
4507345,2025-04-03,4400106895,April 2025,0,A14,2025-04-03,PR2PO-ACK2,BOT
1312085,2025-04-04,4400106902,April 2025,0,A14,2025-04-04,PR2PO-ACK2,BOT
4504505,2025-04-07,4400106909,April 2025,0,G05,2025-04-08,PR2PO-ACK2,BOT
4504505,2025-04-07,4400106909,April 2025,0,G05,2025-04-08,PR2PO-ACK2,BOT
4503559,2025-04-10,4400106918,April 2025,0,A14,2025-04-11,PR2PO-ACK2,BOT
4507345,2025-04-10,4400106919,April 2025,0,A14,2025-04-11,PR2PO-ACK2,BOT
4507345,2025-04-10,4400106919,April 2025,0,A14,2025-04-11,PR2PO-ACK2,BOT
1312085,2025-04-10,4400106920,April 2025,0,A14,2025-04-11,PR2PO-ACK2,BOT
4507345,2025-04-03,4400106896,April 2025,0,A14,2025-04-04,PR2PO-ACK2,BOT
4507345,2025-04-03,4400106897,April 2025,0,A14,2025-04-03,PR2PO-ACK2,BOT
1312085,2025-04-07,4400106911,April 2025,0,A14,2025-04-08,PR2PO-ACK2,BOT
1553319,2025-04-04,4400106898,April 2025,0,G05,2025-04-04,PR2PO-ACK2,BOT
1553319,2025-04-04,4400106898,April 2025,0,G05,2025-04-04,PR2PO-ACK2,BOT
4507345,2025-04-04,4400106899,April 2025,0,A14,2025-04-04,PR2PO-ACK2,BOT
4163725,2025-04-04,4400106900,April 2025,0,G05,2025-04-04,PR2PO-ACK2,BOT
4163725,2025-04-04,4400106900,April 2025,0,G05,2025-04-04,PR2PO-ACK2,BOT
4163725,2025-04-04,4400106900,April 2025,0,G05,2025-04-04,PR2PO-ACK2,BOT
4163725,2025-04-04,4400106900,April 2025,0,G05,2025-04-04,PR2PO-ACK2,BOT
1312085,2025-04-04,4400106901,April 2025,0,A14,2025-04-08,PR2PO-ACK2,BOT
1312085,2025-04-04,4400106904,April 2025,0,A14,2025-04-04,PR2PO-ACK2,BOT
1312085,2025-04-04,4400106904,April 2025,0,A14,2025-04-04,PR2PO-ACK2,BOT
1312085,2025-04-04,4400106903,April 2025,0,A14,2025-04-04,PR2PO-ACK2,BOT
1312085,2025-04-04,4400106904,April 2025,0,A14,2025-04-04,PR2PO-ACK2,BOT
8000441,2025-04-06,4400106905,April 2025,0,G05,2025-04-11,ZWANETS,MANUAL
4504507,2025-04-07,4400106906,April 2025,0,G05,2025-04-07,PR2PO-ACK2,BOT
4504507,2025-04-07,4400106906,April 2025,0,G05,2025-04-07,PR2PO-ACK2,BOT
4504507,2025-04-07,4400106906,April 2025,0,G05,2025-04-07,PR2PO-ACK2,BOT
4504507,2025-04-07,4400106906,April 2025,0,G05,2025-04-07,PR2PO-ACK2,BOT
2693350,2025-04-07,4400106907,April 2025,0,A14,2025-04-07,PR2PO-ACK2,BOT
2693350,2025-04-07,4400106907,April 2025,0,A14,2025-04-07,PR2PO-ACK2,BOT
2693350,2025-04-07,4400106908,April 2025,0,A14,2025-04-07,PR2PO-ACK2,BOT
4507345,2025-04-07,4400106910,April 2025,0,A14,2025-04-08,PR2PO-ACK2,BOT
4507345,2025-04-08,4400106912,April 2025,0,A14,2025-04-09,PR2PO-ACK2,BOT
4507345,2025-04-08,4400106913,April 2025,0,A14,2025-04-08,PR2PO-ACK2,BOT
4352215,2025-04-08,4400106914,April 2025,0,G05,2025-04-08,PR2PO-ACK2,BOT
4352215,2025-04-08,4400106914,April 2025,0,G05,2025-04-08,PR2PO-ACK2,BOT
4352215,2025-04-08,4400106914,April 2025,0,G05,2025-04-08,PR2PO-ACK2,BOT
4352215,2025-04-08,4400106914,April 2025,0,G05,2025-04-08,PR2PO-ACK2,BOT
4352215,2025-04-08,4400106914,April 2025,0,G05,2025-04-08,PR2PO-ACK2,BOT
