Purchasing Document,Created On,Created By,Release 37
4400106893,2025-04-02,04507345,RFCSRM
4400106894,2025-04-03,04507345,RFCSRM
4400106895,2025-04-03,04507345,RFCSRM
4400106898,2025-04-04,01553319,RFCSRM
4400106900,2025-04-04,04163725,RFCSRM
4400106906,2025-04-07,04504507,RFCSRM
4400106908,2025-04-07,02693350,RFCSRM
4400106909,2025-04-07,04504505,RFCSRM
4400106912,2025-04-08,04507345,RFCSRM
4400106913,2025-04-08,04507345,RFCSRM
4400106915,2025-04-08,04315785,RFCSRM
4400106916,2025-04-09,04503559,RFCSRM
4400106918,2025-04-10,04503559,RFCSRM
4400106919,2025-04-10,04507345,RFCSRM
4400106926,2025-04-10,01312085,RFCSRM
4400106927,2025-04-10,01312085,RFCSRM
4400106928,2025-04-13,04507345,RFCSRM
4400106929,2025-04-13,04507345,RFCSRM
4400106931,2025-04-14,01312085,RFCSRM
4400106933,2025-04-14,04315785,RFCSRM
4400106934,2025-04-14,04315785,RFCSRM
4400106935,2025-04-14,04507345,RFCSRM
4400106938,2025-04-16,01312085,RFCSRM
4400106946,2025-04-17,04154566,RFCSRM
4400106947,2025-04-17,01553319,RFCSRM
4400106948,2025-04-17,01553319,RFCSRM
4400106950,2025-04-23,04507345,RFCSRM
4400106952,2025-04-23,04307618,RFCSRM
4400106954,2025-04-24,01312085,RFCSRM
4400106958,2025-04-29,02161972,RFCSRM
4400106959,2025-04-30,08000441,RFCSRM
4400106961,2025-05-06,04073759,RFCSRM
4400106966,2025-05-07,04507345,RFCSRM
4400106967,2025-05-07,04507345,RFCSRM
4400106969,2025-05-07,02692824,RFCSRM
4400106971,2025-05-07,04237762,RFCSRM
4400106973,2025-05-08,04504607,RFCSRM
4400106975,2025-05-09,04315785,RFCSRM
4400106976,2025-05-09,04315785,RFCSRM
4400106977,2025-05-09,01553319,RFCSRM
4400106978,2025-05-09,01772274,RFCSRM
4400106980,2025-05-09,04508046,RFCSRM
4400106981,2025-05-09,01553319,RFCSRM
4400106982,2025-05-09,01553319,RFCSRM
4400106983,2025-05-12,04507345,RFCSRM
4400106984,2025-05-12,04507345,RFCSRM
4400106988,2025-05-13,04507345,RFCSRM
4400106990,2025-05-13,04507345,RFCSRM
4400106991,2025-05-13,04507345,RFCSRM
4400106992,2025-05-13,04507345,RFCSRM
4400106993,2025-05-14,01312085,RFCSRM
4400106994,2025-05-14,02161972,RFCSRM
4400106998,2025-05-14,02349011,RFCSRM
4400107000,2025-05-15,04507345,RFCSRM
4400107006,2025-05-16,02161972,RFCSRM
4400107007,2025-05-16,01312085,RFCSRM
4400107008,2025-05-16,04507345,RFCSRM
4400107009,2025-05-16,04507345,RFCSRM
4400107011,2025-05-16,01312085,RFCSRM
4400107012,2025-05-16,02161972,RFCSRM
4400107020,2025-05-18,04507345,RFCSRM
4400107023,2025-05-19,04507345,RFCSRM
4400107024,2025-05-19,04507345,RFCSRM
4400107029,2025-05-22,01553319,RFCSRM
4400107030,2025-05-22,04507345,RFCSRM
4400107040,2025-05-27,04237762,RFCSRM
4400107042,2025-05-27,04424259,RFCSRM
4400107043,2025-05-27,04237762,RFCSRM
4400107046,2025-05-27,01312085,RFCSRM
4400107047,2025-05-28,02693350,RFCSRM
4400107049,2025-05-28,04507345,RFCSRM
4400107050,2025-05-28,01312085,RFCSRM
4400107051,2025-05-28,04339682,RFCSRM
4400107052,2025-05-28,04154566,RFCSRM
4400107054,2025-05-29,08000441,RFCSRM
4400107056,2025-05-29,04504505,RFCSRM
4400107057,2025-05-29,04504505,RFCSRM
4400107058,2025-05-30,01312085,RFCSRM
4400107060,2025-05-30,01957131,RFCSRM
4400107061,2025-05-30,04510836,RFCSRM
4400107067,2025-06-01,04339682,RFCSRM
4400107069,2025-06-02,04154566,RFCSRM
4400107070,2025-06-02,04154566,RFCSRM
4400107071,2025-06-03,04424259,RFCSRM
4400107072,2025-06-03,04507345,RFCSRM
4400107076,2025-06-03,04507345,RFCSRM
4400107078,2025-06-03,04507345,RFCSRM
4400107079,2025-06-03,04237762,RFCSRM
4400107080,2025-06-03,04237762,RFCSRM
4400107081,2025-06-04,01312085,RFCSRM
4400107085,2025-06-06,04507345,RFCSRM
4400107091,2025-06-09,04306834,RFCSRM
4400107093,2025-06-09,01772274,RFCSRM
4400107096,2025-06-09,04507345,RFCSRM
4400107098,2025-06-11,01772274,RFCSRM
4400107099,2025-06-13,04504505,RFCSRM
4400107102,2025-06-13,01312085,RFCSRM
4400107104,2025-06-17,01553319,RFCSRM
4400107105,2025-06-17,04424259,RFCSRM
4400107106,2025-06-17,02693350,RFCSRM
4400107110,2025-06-23,04504505,RFCSRM
4400107111,2025-06-24,01312085,RFCSRM
4400107114,2025-06-25,01312085,RFCSRM
4400107116,2025-06-25,04424259,RFCSRM
4400107118,2025-06-26,04089273,RFCSRM
4400107119,2025-06-26,04089273,RFCSRM
4400107120,2025-06-26,04306834,RFCSRM
4400107127,2025-06-30,04307618,RFCSRM
4400107129,2025-07-03,01553319,RFCSRM
4400107132,2025-07-06,04507345,RFCSRM
4400107133,2025-07-07,04501887,RFCSRM
4400107135,2025-07-08,01553319,RFCSRM
4400107136,2025-07-09,04237762,RFCSRM
4400107138,2025-07-14,01553319,RFCSRM
4400107140,2025-07-16,04321129,RFCSRM
4400107141,2025-07-17,02693350,RFCSRM
4400107143,2025-07-17,04507345,RFCSRM
4400107151,2025-07-21,02148618,RFCSRM
4400107152,2025-07-22,04321129,RFCSRM
4400107153,2025-07-23,04315785,RFCSRM
4400107154,2025-07-23,04315785,RFCSRM
4400107159,2025-07-25,04307618,RFCSRM
4400107160,2025-07-25,04073759,RFCSRM
4400107161,2025-07-28,04504505,RFCSRM
4400107163,2025-07-30,04163725,RFCSRM
4400107165,2025-08-02,04504507,RFCSRM
4400107166,2025-08-04,04352215,RFCSRM
4400107169,2025-08-04,04154566,RFCSRM
4400107171,2025-08-05,04504507,RFCSRM
4400107179,2025-08-06,02161972,RFCSRM
4400107180,2025-08-06,02161972,RFCSRM
4400107185,2025-08-07,01312085,RFCSRM
4400107186,2025-08-07,01259716,RFCSRM
4400107187,2025-08-07,04237762,RFCSRM
4400107188,2025-08-07,04237762,RFCSRM
4400107193,2025-08-10,04504507,RFCSRM
4400107196,2025-08-11,01312085,RFCSRM
4400107218,2025-08-15,04352215,RFCSRM
4400107219,2025-08-18,04504607,RFCSRM
4400107220,2025-08-18,02148618,RFCSRM
4400107221,2025-08-19,01312085,RFCSRM
4400107224,2025-08-19,01312085,RFCSRM
4400107225,2025-08-21,02161972,RFCSRM
4400107227,2025-08-22,01312085,RFCSRM
4400107230,2025-08-22,01312085,RFCSRM
4400107232,2025-08-22,01312085,RFCSRM
4400107236,2025-08-25,04163725,RFCSRM
4400107237,2025-08-25,01091523,RFCSRM
4400107238,2025-08-25,04504505,RFCSRM
4400107239,2025-08-25,04506090,RFCSRM
4400107240,2025-08-25,04506090,RFCSRM
4400107241,2025-08-27,04281899,RFCSRM
4400107242,2025-08-28,04237762,RFCSRM
4400107243,2025-08-28,04342265,RFCSRM
4400107246,2025-08-29,04352215,RFCSRM
4400107247,2025-09-01,01553319,RFCSRM
4400107248,2025-09-01,01553319,RFCSRM
4400107249,2025-09-01,01553319,RFCSRM
4400107250,2025-09-01,01553319,RFCSRM
4400107251,2025-09-01,01553319,RFCSRM
4400107252,2025-09-01,04501887,RFCSRM
4400107253,2025-09-01,04501887,RFCSRM
4400107254,2025-09-01,01312085,RFCSRM
4400107255,2025-09-01,02161972,RFCSRM
4400107256,2025-09-02,04506090,RFCSRM
4400107259,2025-09-02,01312085,RFCSRM
4400107260,2025-09-03,04352215,RFCSRM
4400107261,2025-09-03,04352215,RFCSRM
4400107264,2025-09-04,02161972,RFCSRM
4400107266,2025-09-04,01957131,RFCSRM
4400107268,2025-09-05,04506090,RFCSRM
4400107269,2025-09-05,04424259,RFCSRM
4400107270,2025-09-08,04501751,RFCSRM
4400107272,2025-09-09,04321129,RFCSRM
4400107273,2025-09-09,04504505,RFCSRM
4400107274,2025-09-10,02161972,RFCSRM
4400107275,2025-09-10,04339682,RFCSRM
4400107276,2025-09-10,04504505,RFCSRM
4400107277,2025-09-12,04315785,RFCSRM
4400107278,2025-09-12,04315785,RFCSRM
4400107279,2025-09-15,01312085,RFCSRM
4400107281,2025-09-17,02693350,RFCSRM
4400107282,2025-09-17,02161972,RFCSRM
4400107286,2025-09-19,04341842,RFCSRM
4400107287,2025-09-22,04352215,RFCSRM
4400107290,2025-09-22,01553319,RFCSRM
4400107291,2025-09-22,01553319,RFCSRM
4400107292,2025-09-22,01553319,RFCSRM
4400107294,2025-09-23,04321129,RFCSRM
4400107296,2025-09-23,04507345,RFCSRM
4400107297,2025-09-23,02693350,RFCSRM
4400107298,2025-09-25,01312085,RFCSRM
4400107299,2025-09-25,01312085,RFCSRM
4400107300,2025-09-26,04504292,RFCSRM
4400107303,2025-09-29,04503559,RFCSRM
4400107304,2025-09-30,04507345,RFCSRM
4400107306,2025-09-30,08000441,RFCSRM
4502038372,2025-04-01,PR2PO_BOT4,ZWANETS
4502038373,2025-04-01,PR2PO_BOT4,ZWANETS
4502038374,2025-04-01,PR2PO_BOT4,ZWANETS
4502038375,2025-04-01,PR2PO_BOT4,ZWANETS
4502038376,2025-04-01,PR2PO_BOT4,ZWANETS
4502038377,2025-04-01,PR2PO_BOT4,ZWANETS
4502038378,2025-04-01,PR2PO_BOT4,ZWANETS
4502038379,2025-04-01,PR2PO_BOT4,ZWANETS
4502038384,2025-04-01,PR2PO_BOT4,ZWANETS
4502038386,2025-04-01,ARIBA,ARIBA
4502038390,2025-04-01,PR2PO_BOT3,MARSHAB
4502038391,2025-04-01,MARSHAB,MARSHAB
4502038392,2025-04-01,PR2PO_BOT3,MARSHAB
4502038396,2025-04-01,ZWANETS,ZWANETS
4502038397,2025-04-01,ZWANETS,ZWANETS
4502038400,2025-04-01,PR2PO_BOT4,ZWANETS
4502038404,2025-04-01,PR2PO_BOT5,NELD7
4502038407,2025-04-02,ARIBA,ARIBA
4502038410,2025-04-02,PR2PO_BOT4,MARSHAB
4502038411,2025-04-02,PR2PO_BOT4,MARSHAB
4502038412,2025-04-02,PR2PO_BOT4,MARSHAB
4502038414,2025-04-02,PR2PO_BOT4,MARSHAB
4502038418,2025-04-02,PR2PO_BOT4,ZWANETS
4502038420,2025-04-02,ARIBA,ARIBA
4502038421,2025-04-02,NELD7,NELD7
4502038422,2025-04-02,NELD7,NELD7
4502038423,2025-04-02,NELD7,NELD7
4502038424,2025-04-02,NELD7,NELD7
4502038425,2025-04-02,NELD7,NELD7
4502038426,2025-04-02,NELD7,MOODLEK4
4502038428,2025-04-03,PR2PO_BOT5,NELD7
4502038432,2025-04-03,PR2PO_BOT5,NELD7
4502038433,2025-04-03,PR2PO_BOT5,NELD7
4502038434,2025-04-03,PR2PO_BOT5,NELD7
4502038439,2025-04-03,PR2PO_BOT5,NELD7
4502038444,2025-04-03,PR2PO_BOT5,NELD7
4502038446,2025-04-03,PR2PO_BOT3,MARSHAB
4502038448,2025-04-03,PR2PO_BOT5,NELD7
4502038461,2025-04-03,PR2PO_BOT5,NELD7
4502038463,2025-04-03,PR2PO_BOT5,NELD7
4502038465,2025-04-03,PR2PO_BOT5,NELD7
4502038466,2025-04-03,PR2PO_BOT5,NELD7
4502038468,2025-04-03,NELD7,NELD7
4502038470,2025-04-03,ZWANETS,ZWANETS
4502038472,2025-04-03,ZWANETS,ZWANETS
4502038474,2025-04-03,PR2PO_BOT4,MOODLEK4
4502038479,2025-04-03,PR2PO_BOT4,MOODLEK4
4502038485,2025-04-03,PR2PO_BOT4,MOODLEK4
4502038492,2025-04-03,ZWANETS,MOODLEK4
4502038494,2025-04-04,PR2PO_BOT3,NELD7
4502038495,2025-04-04,PR2PO_BOT3,NELD7
4502038496,2025-04-04,PR2PO_BOT3,NELD7
4502038499,2025-04-04,PR2PO_BOT3,NELD7
4502038500,2025-04-04,ARIBA,ARIBA
4502038501,2025-04-04,PR2PO_BOT3,NELD7
4502038502,2025-04-04,PR2PO_BOT3,NELD7
4502038504,2025-04-04,PR2PO_BOT3,NELD7
4502038505,2025-04-04,PR2PO_BOT3,NELD7
4502038506,2025-04-04,PR2PO_BOT3,NELD7
4502038507,2025-04-04,ZWANETS,ZWANETS
4502038509,2025-04-04,PR2PO_BOT2,NELD7
4502038512,2025-04-04,PR2PO_BOT2,NELD7
4502038513,2025-04-04,PR2PO_BOT2,NELD7
4502038515,2025-04-04,PR2PO_BOT2,NELD7
4502038516,2025-04-04,PR2PO_BOT2,NELD7
4502038518,2025-04-04,MARSHAB,MARSHAB
4502038521,2025-04-04,NELD7,NELD7
4502038526,2025-04-04,MARSHAB,MARSHAB
4502038531,2025-04-04,MARSHAB,MARSHAB
4502038534,2025-04-04,NELD7,NELD7
4502038535,2025-04-04,NELD7,NELD7
4502038536,2025-04-04,NELD7,NELD7
4502038537,2025-04-04,ARIBA,ARIBA
